timestamp,handicap,odds,name,description,first
2023-10-29 03:10:58,13.5,84.7457627118644,Utah Jazz,Spread Betting,0.0
2023-10-29 03:10:58,-13.5,90.9090909090909,Phoenix Suns,Spread Betting,0.0
2023-10-29 01:05:07,-6.5,84.7457627118644,Minnesota Timberwolves,Spread Betting,0.0
2023-10-29 01:05:07,6.5,90.9090909090909,Miami Heat,Spread Betting,0.0
2023-10-29 00:40:11,9.5,81.9672131147541,Cleveland Cavaliers,Spread Betting,0.0
2023-10-29 00:40:11,-9.5,94.33962264150944,Indiana Pacers,Spread Betting,0.0
2023-10-29 00:40:05,2.5,76.92307692307693,Toronto Raptors,Spread Betting,0.0
2023-10-29 00:40:05,2.5,83.33333333333334,Philadelphia 76ers,Spread Betting,0.0
2023-10-29 00:10:05,6.5,87.71929824561403,Memphis Grizzlies,Spread Betting,0.0
2023-10-29 00:10:05,13.5,94.33962264150944,New York Knicks,Spread Betting,0.0
2023-10-29 00:10:05,-10.5,98.0392156862745,Washington Wizards,Spread Betting,0.0
2023-10-29 00:10:05,-13.5,81.9672131147541,New Orleans Pelicans,Spread Betting,0.0
2023-10-29 00:10:05,-7.5,76.92307692307693,Detroit Pistons,Spread Betting,0.0
2023-10-29 00:10:05,7.5,100.0,Chicago Bulls,Spread Betting,0.0
2023-10-28 23:15:15,4.0,94.33962264150944,Cleveland Cavaliers,Spread Betting,1.0
2023-10-28 23:15:15,-4.0,87.71929824561403,Indiana Pacers,Spread Betting,1.0
2023-10-28 22:40:05,-4.5,92.5925925925926,Philadelphia 76ers,Spread Betting,1.0
2023-10-28 22:40:05,5.0,90.9090909090909,Toronto Raptors,Spread Betting,1.0
2023-10-28 22:20:21,1.0,90.9090909090909,Washington Wizards,Spread Betting,1.0
2023-10-28 22:20:21,-1.0,90.9090909090909,Memphis Grizzlies,Spread Betting,1.0
2023-10-28 22:20:21,2.5,92.5925925925926,Detroit Pistons,Spread Betting,1.0
2023-10-28 22:20:21,-1.5,89.28571428571429,Chicago Bulls,Spread Betting,1.0
2023-10-28 20:10:23,8.0,92.5925925925926,Miami Heat,Spread Betting,1.0
2023-10-28 20:10:23,5.5,90.9090909090909,Utah Jazz,Spread Betting,1.0
2023-10-28 20:10:23,-5.5,90.9090909090909,Phoenix Suns,Spread Betting,1.0
2023-10-28 20:10:23,-8.0,89.28571428571429,Minnesota Timberwolves,Spread Betting,1.0
2023-10-28 17:25:27,-3.0,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0
2023-10-28 17:25:27,3.0,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-10-30 02:10:04,-4.5,88.49557522123894,Sacramento Kings,Spread Betting,0.0
2023-10-30 02:10:04,-16.5,102.0,Los Angeles Clippers,Spread Betting,0.0
2023-10-30 02:10:04,8.5,87.71929824561403,Los Angeles Lakers,Spread Betting,0.0
2023-10-30 02:10:04,18.5,87.71929824561403,San Antonio Spurs,Spread Betting,0.0
2023-10-30 00:45:20,9.0,90.9090909090909,San Antonio Spurs,Spread Betting,1.0
2023-10-30 00:45:20,-9.5,89.28571428571429,Los Angeles Clippers,Spread Betting,1.0
2023-10-30 00:40:05,7.5,87.71929824561403,Portland Trail Blazers,Spread Betting,0.0
2023-10-30 00:40:05,-5.5,106.0,Philadelphia 76ers,Spread Betting,0.0
2023-10-30 00:10:16,4.5,92.5925925925926,Milwaukee Bucks,Spread Betting,0.0
2023-10-30 00:10:16,10.5,90.9090909090909,Houston Rockets,Spread Betting,0.0
2023-10-30 00:10:16,-8.5,92.5925925925926,Atlanta Hawks,Spread Betting,0.0
2023-10-30 00:10:16,-9.5,69.44444444444444,Golden State Warriors,Spread Betting,0.0
2023-10-29 23:20:42,10.0,86.95652173913044,Portland Trail Blazers,Spread Betting,1.0
2023-10-29 23:20:42,-10.0,95.23809523809523,Philadelphia 76ers,Spread Betting,1.0
2023-10-29 22:20:42,6.0,90.9090909090909,Atlanta Hawks,Spread Betting,1.0
2023-10-29 22:20:42,-6.0,90.9090909090909,Milwaukee Bucks,Spread Betting,1.0
2023-10-29 21:35:24,7.0,89.28571428571429,Houston Rockets,Spread Betting,1.0
2023-10-29 21:35:24,-6.5,87.71929824561403,Golden State Warriors,Spread Betting,1.0
2023-10-29 20:41:03,-14.5,84.7457627118644,Denver Nuggets,Spread Betting,0.0
2023-10-29 20:41:03,14.5,90.9090909090909,Oklahoma City Thunder,Spread Betting,0.0
2023-10-29 19:20:07,-4.0,92.5925925925926,Denver Nuggets,Spread Betting,1.0
2023-10-29 19:20:07,4.0,89.28571428571429,Oklahoma City Thunder,Spread Betting,1.0
2023-10-29 15:20:05,2.5,90.9090909090909,Los Angeles Lakers,Spread Betting,1.0
2023-10-29 15:20:05,-2.5,90.9090909090909,Sacramento Kings,Spread Betting,1.0
2023-10-31 03:40:07,2.5,98.0392156862745,Orlando Magic,Spread Betting,0.0
2023-10-31 03:40:07,-2.5,78.125,Los Angeles Lakers,Spread Betting,0.0
2023-10-31 02:05:21,-11.5,69.44444444444444,Denver Nuggets,Spread Betting,0.0
2023-10-31 02:05:21,11.5,110.0,Utah Jazz,Spread Betting,0.0
2023-10-31 02:05:21,-3.5,87.71929824561403,Los Angeles Lakers,Spread Betting,1.0
2023-10-31 02:05:21,3.5,94.33962264150944,Orlando Magic,Spread Betting,1.0
2023-10-31 01:10:36,-4.5,76.92307692307693,Dallas Mavericks,Spread Betting,0.0
2023-10-31 01:10:36,10.5,94.33962264150944,Detroit Pistons,Spread Betting,0.0
2023-10-31 01:10:36,4.5,100.0,Memphis Grizzlies,Spread Betting,0.0
2023-10-31 01:10:36,-10.5,81.9672131147541,Oklahoma City Thunder,Spread Betting,0.0
2023-10-31 01:10:09,-10.5,87.71929824561403,Milwaukee Bucks,Spread Betting,0.0
2023-10-31 01:10:09,12.5,86.95652173913044,Miami Heat,Spread Betting,0.0
2023-10-31 01:10:09,-0.5,100.0,New Orleans Pelicans,Spread Betting,0.0
2023-10-31 01:10:09,0.5,76.92307692307693,Golden State Warriors,Spread Betting,0.0
2023-10-31 00:55:13,-8.5,89.28571428571429,Denver Nuggets,Spread Betting,1.0
2023-10-31 00:55:13,8.5,92.5925925925926,Utah Jazz,Spread Betting,1.0
2023-10-31 00:41:37,8.5,88.49557522123894,Portland Trail Blazers,Spread Betting,0.0
2023-10-31 00:41:37,-8.5,86.95652173913044,Toronto Raptors,Spread Betting,0.0
2023-10-31 00:35:05,14.5,98.0392156862745,Atlanta Hawks,Spread Betting,0.0
2023-10-31 00:35:05,-16.5,87.71929824561403,Minnesota Timberwolves,Spread Betting,0.0
2023-10-31 00:10:27,3.5,94.33962264150944,Chicago Bulls,Spread Betting,0.0
2023-10-31 00:10:27,7.5,96.15384615384616,Charlotte Hornets,Spread Betting,0.0
2023-10-31 00:10:27,-3.5,81.9672131147541,Indiana Pacers,Spread Betting,0.0
2023-10-31 00:10:27,-7.5,80.0,Brooklyn Nets,Spread Betting,0.0
2023-10-31 00:10:06,-24.5,74.07407407407408,Boston Celtics,Spread Betting,0.0
2023-10-31 00:10:06,24.5,104.0,Washington Wizards,Spread Betting,0.0
2023-10-30 23:31:01,1.5,89.28571428571429,Dallas Mavericks,Spread Betting,1.0
2023-10-30 23:31:01,-3.0,87.71929824561403,New Orleans Pelicans,Spread Betting,1.0
2023-10-30 23:31:01,2.5,90.9090909090909,Golden State Warriors,Spread Betting,1.0
2023-10-30 23:31:01,-1.5,92.5925925925926,Memphis Grizzlies,Spread Betting,1.0
2023-10-30 23:00:50,9.5,90.9090909090909,Portland Trail Blazers,Spread Betting,1.0
2023-10-30 23:00:50,-10.0,90.9090909090909,Toronto Raptors,Spread Betting,1.0
2023-10-30 22:45:20,-6.5,90.9090909090909,Oklahoma City Thunder,Spread Betting,1.0
2023-10-30 22:45:20,6.5,90.9090909090909,Detroit Pistons,Spread Betting,1.0
2023-10-30 22:45:20,-2.0,89.28571428571429,Minnesota Timberwolves,Spread Betting,1.0
2023-10-30 22:45:20,2.0,92.5925925925926,Atlanta Hawks,Spread Betting,1.0
2023-10-30 22:40:06,-7.5,90.9090909090909,Milwaukee Bucks,Spread Betting,1.0
2023-10-30 22:40:06,7.5,90.9090909090909,Miami Heat,Spread Betting,1.0
2023-10-30 22:10:38,-2.0,90.9090909090909,Brooklyn Nets,Spread Betting,1.0
2023-10-30 22:10:38,10.5,90.9090909090909,Washington Wizards,Spread Betting,1.0
2023-10-30 22:10:38,1.5,90.9090909090909,Charlotte Hornets,Spread Betting,1.0
2023-10-30 22:10:38,-10.5,90.9090909090909,Boston Celtics,Spread Betting,1.0
2023-10-30 22:05:47,3.0,90.9090909090909,Chicago Bulls,Spread Betting,1.0
2023-10-30 22:05:47,-3.0,90.9090909090909,Indiana Pacers,Spread Betting,1.0
2023-11-01 03:40:04,3.5,81.9672131147541,Orlando Magic,Spread Betting,0.0
2023-11-01 03:40:04,-2.5,87.71929824561403,Los Angeles Clippers,Spread Betting,0.0
2023-11-01 03:10:04,-16.5,87.71929824561403,Phoenix Suns,Spread Betting,0.0
2023-11-01 03:10:04,16.5,87.71929824561403,San Antonio Spurs,Spread Betting,0.0
2023-11-01 02:05:38,-6.5,94.33962264150944,Los Angeles Clippers,Spread Betting,1.0
2023-11-01 02:05:38,6.0,94.33962264150944,Orlando Magic,Spread Betting,1.0
2023-11-01 01:55:16,-7.0,90.9090909090909,Phoenix Suns,Spread Betting,1.0
2023-11-01 01:55:16,6.5,90.9090909090909,San Antonio Spurs,Spread Betting,1.0
2023-11-01 00:40:21,4.5,94.33962264150944,Cleveland Cavaliers,Spread Betting,0.0
2023-11-01 00:40:21,-4.5,81.9672131147541,New York Knicks,Spread Betting,0.0
2023-10-31 23:20:50,1.5,90.9090909090909,Cleveland Cavaliers,Spread Betting,1.0
2023-10-31 23:20:50,-1.5,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-11-02 03:10:08,-5.5,83.33333333333334,Golden State Warriors,Spread Betting,0.0
2023-11-02 03:10:08,5.5,92.5925925925926,Sacramento Kings,Spread Betting,0.0
2023-11-02 03:10:04,-5.5,81.9672131147541,Los Angeles Clippers,Spread Betting,0.0
2023-11-02 03:10:04,5.5,94.33962264150944,Los Angeles Lakers,Spread Betting,0.0
2023-11-02 02:10:48,26.5,86.95652173913044,Memphis Grizzlies,Spread Betting,0.0
2023-11-02 02:10:48,-26.5,88.49557522123894,Utah Jazz,Spread Betting,0.0
2023-11-02 01:50:14,-7.0,90.9090909090909,Golden State Warriors,Spread Betting,1.0
2023-11-02 01:50:14,6.5,90.9090909090909,Sacramento Kings,Spread Betting,1.0
2023-11-02 01:40:12,2.5,88.49557522123894,Chicago Bulls,Spread Betting,0.0
2023-11-02 01:40:12,-2.5,86.95652173913044,Dallas Mavericks,Spread Betting,0.0
2023-11-02 01:36:33,3.0,94.33962264150944,Los Angeles Clippers,Spread Betting,1.0
2023-11-02 01:36:33,-3.0,87.71929824561403,Los Angeles Lakers,Spread Betting,1.0
2023-11-02 01:11:39,-11.5,87.71929824561403,Minnesota Timberwolves,Spread Betting,0.0
2023-11-02 01:11:39,11.5,87.71929824561403,Denver Nuggets,Spread Betting,0.0
2023-11-02 01:05:10,-4.5,86.95652173913044,Houston Rockets,Spread Betting,0.0
2023-11-02 01:05:10,4.5,88.49557522123894,Charlotte Hornets,Spread Betting,0.0
2023-11-02 00:55:04,-2.0,89.28571428571429,Utah Jazz,Spread Betting,1.0
2023-11-02 00:40:35,5.5,71.42857142857143,Cleveland Cavaliers,Spread Betting,0.0
2023-11-02 00:40:35,-5.5,108.0,New York Knicks,Spread Betting,0.0
2023-11-02 00:40:35,-22.5,87.71929824561403,Boston Celtics,Spread Betting,0.0
2023-11-02 00:40:35,22.5,87.71929824561403,Indiana Pacers,Spread Betting,0.0
2023-11-02 00:40:20,-14.5,81.9672131147541,Miami Heat,Spread Betting,0.0
2023-11-02 00:40:20,14.5,94.33962264150944,Brooklyn Nets,Spread Betting,0.0
2023-11-02 00:40:19,10.5,83.33333333333334,New Orleans Pelicans,Spread Betting,0.0
2023-11-02 00:40:19,-10.5,92.5925925925926,Oklahoma City Thunder,Spread Betting,0.0
2023-11-02 00:35:40,-10.5,83.33333333333334,Atlanta Hawks,Spread Betting,0.0
2023-11-02 00:35:40,10.5,92.5925925925926,Washington Wizards,Spread Betting,0.0
2023-11-02 00:15:19,-3.5,90.9090909090909,Dallas Mavericks,Spread Betting,1.0
2023-11-02 00:15:19,4.0,89.28571428571429,Chicago Bulls,Spread Betting,1.0
2023-11-02 00:05:38,10.5,72.46376811594203,Portland Trail Blazers,Spread Betting,0.0
2023-11-02 00:05:38,-10.5,106.0,Detroit Pistons,Spread Betting,0.0
2023-11-02 00:05:10,12.5,100.0,Milwaukee Bucks,Spread Betting,0.0
2023-11-02 00:05:10,-12.5,76.92307692307693,Toronto Raptors,Spread Betting,0.0
2023-11-01 23:35:50,2.5,92.5925925925926,Minnesota Timberwolves,Spread Betting,1.0
2023-11-01 23:35:50,-2.5,89.28571428571429,Denver Nuggets,Spread Betting,1.0
2023-11-01 23:30:47,2.0,90.9090909090909,Memphis Grizzlies,Spread Betting,1.0
2023-11-01 23:25:16,-5.5,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-11-01 23:25:16,5.0,90.9090909090909,Cleveland Cavaliers,Spread Betting,1.0
2023-11-01 23:25:08,9.5,90.9090909090909,Washington Wizards,Spread Betting,1.0
2023-11-01 23:25:08,-9.5,90.9090909090909,Atlanta Hawks,Spread Betting,1.0
2023-11-01 23:20:26,-3.5,90.9090909090909,Oklahoma City Thunder,Spread Betting,1.0
2023-11-01 23:20:26,3.5,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0
2023-11-01 23:05:04,2.5,94.33962264150944,Charlotte Hornets,Spread Betting,1.0
2023-11-01 23:05:04,-3.0,90.9090909090909,Houston Rockets,Spread Betting,1.0
2023-11-01 22:55:54,4.5,87.71929824561403,Toronto Raptors,Spread Betting,1.0
2023-11-01 22:55:54,-4.5,94.33962264150944,Milwaukee Bucks,Spread Betting,1.0
2023-11-01 22:45:53,7.0,90.9090909090909,Brooklyn Nets,Spread Betting,1.0
2023-11-01 22:45:53,-7.0,90.9090909090909,Miami Heat,Spread Betting,1.0
2023-11-01 22:40:36,3.0,92.5925925925926,Portland Trail Blazers,Spread Betting,1.0
2023-11-01 22:40:36,-3.0,89.28571428571429,Detroit Pistons,Spread Betting,1.0
2023-11-01 22:30:30,13.5,89.28571428571429,Indiana Pacers,Spread Betting,1.0
2023-11-01 22:30:30,-13.5,92.5925925925926,Boston Celtics,Spread Betting,1.0
