PLUS_MINUS,game,handicap,odds,name,description,first,hit
4,2024-02-14 Denver Nuggets,-5.5,90.9090909090909,Denver Nuggets,Spread Betting,1.0,0.0
4,2024-02-14 Denver Nuggets,-10.5,83.33333333333334,Denver Nuggets,Spread Betting,0.0,0.0
-4,2024-02-14 Sacramento Kings,5.5,90.9090909090909,Sacramento Kings,Spread Betting,1.0,1.0
-4,2024-02-14 Sacramento Kings,10.5,92.5925925925926,Sacramento Kings,Spread Betting,0.0,1.0
5,2024-02-14 Golden State Warriors,-3.5,90.9090909090909,Golden State Warriors,Spread Betting,1.0,0.0
5,2024-02-14 Golden State Warriors,-10.5,90.9090909090909,Golden State Warriors,Spread Betting,0.0,0.0
-16,2024-02-14 Phoenix Suns,-13.5,92.5925925925926,Phoenix Suns,Spread Betting,1.0,1.0
-16,2024-02-14 Phoenix Suns,-30.5,106.0,Phoenix Suns,Spread Betting,0.0,0.0
16,2024-02-14 Detroit Pistons,13.5,89.28571428571429,Detroit Pistons,Spread Betting,1.0,0.0
16,2024-02-14 Detroit Pistons,30.5,72.46376811594203,Detroit Pistons,Spread Betting,0.0,1.0
-50,2024-02-14 Boston Celtics,-11.5,87.71929824561403,Boston Celtics,Spread Betting,1.0,1.0
-50,2024-02-14 Boston Celtics,-34.5,87.71929824561403,Boston Celtics,Spread Betting,0.0,1.0
50,2024-02-14 Brooklyn Nets,11.5,94.33962264150944,Brooklyn Nets,Spread Betting,1.0,0.0
50,2024-02-14 Brooklyn Nets,34.5,87.71929824561403,Brooklyn Nets,Spread Betting,0.0,0.0
-7,2024-02-14 New Orleans Pelicans,-13.5,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0,0.0
-7,2024-02-14 New Orleans Pelicans,-13.5,74.07407407407408,New Orleans Pelicans,Spread Betting,0.0,0.0
7,2024-02-14 Washington Wizards,14.5,90.9090909090909,Washington Wizards,Spread Betting,1.0,1.0
7,2024-02-14 Washington Wizards,13.5,104.0,Washington Wizards,Spread Betting,0.0,1.0
-8,2024-02-14 Memphis Grizzlies,2.0,92.5925925925926,Memphis Grizzlies,Spread Betting,1.0,1.0
-8,2024-02-14 Memphis Grizzlies,-4.5,68.4931506849315,Memphis Grizzlies,Spread Betting,0.0,1.0
8,2024-02-14 Houston Rockets,-2.0,89.28571428571429,Houston Rockets,Spread Betting,1.0,0.0
8,2024-02-14 Houston Rockets,5.5,86.95652173913044,Houston Rockets,Spread Betting,0.0,0.0
-2,2024-02-14 Indiana Pacers,-2.5,89.28571428571429,Indiana Pacers,Spread Betting,1.0,0.0
-2,2024-02-14 Indiana Pacers,5.5,74.07407407407408,Indiana Pacers,Spread Betting,0.0,1.0
2,2024-02-14 Toronto Raptors,2.5,92.5925925925926,Toronto Raptors,Spread Betting,1.0,1.0
2,2024-02-14 Toronto Raptors,-3.5,81.9672131147541,Toronto Raptors,Spread Betting,0.0,0.0
3,2024-02-14 Chicago Bulls,9.5,89.28571428571429,Chicago Bulls,Spread Betting,1.0,1.0
3,2024-02-14 Chicago Bulls,2.5,87.71929824561403,Chicago Bulls,Spread Betting,0.0,0.0
-3,2024-02-14 Cleveland Cavaliers,-9.5,92.5925925925926,Cleveland Cavaliers,Spread Betting,1.0,0.0
-3,2024-02-14 Cleveland Cavaliers,-2.5,87.71929824561403,Cleveland Cavaliers,Spread Betting,0.0,1.0
-23,2024-02-14 Charlotte Hornets,7.0,89.28571428571429,Charlotte Hornets,Spread Betting,1.0,1.0
-23,2024-02-14 Charlotte Hornets,-1.5,94.33962264150944,Charlotte Hornets,Spread Betting,0.0,1.0
23,2024-02-14 Atlanta Hawks,-7.0,92.5925925925926,Atlanta Hawks,Spread Betting,1.0,0.0
23,2024-02-14 Atlanta Hawks,1.5,81.9672131147541,Atlanta Hawks,Spread Betting,0.0,0.0
-18,2024-02-14 Orlando Magic,-3.5,90.9090909090909,Orlando Magic,Spread Betting,1.0,1.0
-18,2024-02-14 Orlando Magic,-9.5,96.15384615384616,Orlando Magic,Spread Betting,0.0,1.0
18,2024-02-14 New York Knicks,3.5,90.9090909090909,New York Knicks,Spread Betting,1.0,0.0
18,2024-02-14 New York Knicks,9.5,80.0,New York Knicks,Spread Betting,0.0,0.0
-8,2024-02-13 Boston Celtics,-8.0,90.9090909090909,Boston Celtics,Spread Betting,1.0,0.5
-8,2024-02-13 Boston Celtics,-17.5,90.9090909090909,Boston Celtics,Spread Betting,0.0,0.0
