handicap,odds,participant_name,name,description,game_date
0.0,100.0,No Pelicans,NO Pelicans - NO Pelicans,Moneyline 1st Half,2023-10-25
-0.5,90.9090909090909,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread 1st Half,2023-10-25
0.5,90.9090909090909,No Pelicans,NO Pelicans - NO Pelicans,Spread 1st Half,2023-10-25
0.0,89.28571428571429,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Moneyline 1st Quarter,2023-10-25
0.0,92.5925925925926,No Pelicans,NO Pelicans - NO Pelicans,Moneyline 1st Quarter,2023-10-25
-0.5,98.0392156862745,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread 1st Quarter,2023-10-25
0.5,84.7457627118644,No Pelicans,NO Pelicans - NO Pelicans,Spread 1st Quarter,2023-10-25
0.0,80.0,Sac Kings,SAC Kings - SAC Kings,Moneyline,2023-10-25
0.0,105.0,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline,2023-10-25
-1.5,89.28571428571429,Sac Kings,SAC Kings - SAC Kings,Spread,2023-10-25
1.5,92.5925925925926,Uta Jazz,UTA Jazz - UTA Jazz,Spread,2023-10-25
0.0,83.33333333333334,Sac Kings,SAC Kings - SAC Kings,Moneyline 1st Half,2023-10-25
0.0,100.0,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline 1st Half,2023-10-25
-0.5,92.5925925925926,Sac Kings,SAC Kings - SAC Kings,Spread 1st Half,2023-10-25
0.5,89.28571428571429,Uta Jazz,UTA Jazz - UTA Jazz,Spread 1st Half,2023-10-25
0.0,86.95652173913044,Sac Kings,SAC Kings - SAC Kings,Moneyline 1st Quarter,2023-10-25
0.0,95.23809523809523,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline 1st Quarter,2023-10-25
-0.5,95.23809523809523,Sac Kings,SAC Kings - SAC Kings,Spread 1st Quarter,2023-10-25
0.5,86.95652173913044,Uta Jazz,UTA Jazz - UTA Jazz,Spread 1st Quarter,2023-10-25
-5.0,90.9090909090909,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread,2023-10-25
5.0,90.9090909090909,Sa Spurs,SA Spurs - SA Spurs,Spread,2023-10-25
0.0,61.72839506172839,Dal Mavericks,DAL Mavericks - DAL Mavericks,Moneyline 1st Half,2023-10-25
0.0,136.0,Sa Spurs,SA Spurs - SA Spurs,Moneyline 1st Half,2023-10-25
-2.0,86.95652173913044,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread 1st Half,2023-10-25
2.0,95.23809523809523,Sa Spurs,SA Spurs - SA Spurs,Spread 1st Half,2023-10-25
0.0,70.4225352112676,Dal Mavericks,DAL Mavericks - DAL Mavericks,Moneyline 1st Quarter,2023-10-25
0.0,120.0,Sa Spurs,SA Spurs - SA Spurs,Moneyline 1st Quarter,2023-10-25
-1.5,95.23809523809523,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread 1st Quarter,2023-10-25
1.5,86.95652173913044,Sa Spurs,SA Spurs - SA Spurs,Spread 1st Quarter,2023-10-25
-9.5,90.9090909090909,La Clippers,LA Clippers - LA Clippers,Spread,2023-10-25
9.5,90.9090909090909,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread,2023-10-25
-5.0,89.28571428571429,La Clippers,LA Clippers - LA Clippers,Spread 1st Half,2023-10-25
5.0,92.5925925925926,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread 1st Half,2023-10-25
-3.0,90.9090909090909,La Clippers,LA Clippers - LA Clippers,Spread 1st Quarter,2023-10-25
3.0,90.9090909090909,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread 1st Quarter,2023-10-25
-6.0,89.28571428571429,Mil Bucks,MIL Bucks - MIL Bucks,Spread,2023-10-26
